label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
1,132976820355776.08,601808748431.5569,193536274375.67334,74294478053.23659,41315485628.83975,33051324771.24925,24333066285.48281,14251717071.528675,4879754572.601706,3933099777.943398,3209620999.768578,2771252494.8056755,2245628659.074853,2033842652.6986647,1756648392.6820593,1582912316.9401228,1360626250.6760921,1285636492.2480378,1055713380.7374241,998737078.3148867,976675381.2428184,810939771.3990259,761611260.3109007,668318701.9188712,647227244.8281164,585864300.6282086,557080668.8172163,525107222.79300964,526562781.5491617,108766675.40737775
1,92785644713776.5,604979261689.16,191904305557.09744,77421558078.21439,45116764131.60512,28219718549.883713,20234370765.97202,13418563805.39806,6989348104.547411,5694698475.915518,5660668443.047841,5687916613.917734,5815783025.882055,5500391526.907627,6419369438.400694,4861593413.757384,5202112017.883028,3451970411.248096,2935659957.140386,1991785056.4456654,1781931127.4812562,1607742185.7283444,1472960400.0185895,1351040322.0211225,1341676909.381822,1465060446.8992698,1423722738.67599,1289479324.677299,1275115083.9088135,260979486.27696776
1,128430573299692.16,1539819645454.4429,431505811042.3719,202339834962.83246,137844754814.65417,79981855518.52742,56602252218.17812,36318079061.160095,18869736327.67669,15470892044.177118,11561963137.11443,11012367032.2151,10862200225.207409,12209009411.332079,10087196829.90054,6602376879.398262,5847717754.80962,5164901190.603506,4317242208.496978,3700378457.8160105,2891685424.693818,2824670119.471094,2646350475.5755625,2319432133.8675814,2217525777.3112345,2024440236.134365,1822778508.9447155,1821978649.699495,1777725247.0920541,418799896.1704673
1,133096721626950.0,1624923078394.1235,520301967861.2295,235757701795.98962,131701924883.52022,77952743746.2811,56160563497.12078,38150544290.61043,16975710676.194881,14578803741.385117,11976495141.341555,14462339108.281769,14598306179.108578,14167286640.187437,9358838730.983017,7186503230.786789,6267412987.731682,5349791912.441738,3618288829.4204683,3484820161.944504,3066566145.754288,2789788677.018646,2566994041.6669493,2271877249.3208137,2659686001.667422,2018698766.6322818,1931660105.0961056,2076807485.140522,2146201123.8314233,487233661.1950435
1,132933354176354.45,3496954885206.672,821667179749.1956,430695879351.3734,243230082114.3468,152563270387.88568,107119707695.58844,76661391598.24213,50254246498.054695,40093167547.52483,31434749640.568268,25549579081.432266,21595200189.462044,18610271831.960705,15861899157.084892,19009885687.43045,15505532788.27823,10660503206.733936,9242245076.656372,7438133519.87748,6404395910.503087,5657293592.078339,5098232760.709999,4715915879.516558,4246655759.55701,3926488465.303278,3790068416.082345,3440341882.8873777,3452388926.767961,742648603.7639468
1,108625951474420.73,927134875651.9573,238890324431.136,115727280931.68211,61547375939.625114,41372977180.632256,32219090910.988037,21150242678.496277,8688100834.405853,6052217489.98125,4742914302.196113,4179431243.1609335,3334719043.1126485,2913931577.70903,2455382017.0824566,2160102751.166649,1913707802.3472798,1638048217.2848232,1537619771.2839167,1368904622.138505,1271433094.9125712,1052106234.639662,1119435327.6453867,997704680.3676333,906947641.480191,904119467.946532,892520053.7566543,797577670.3408608,810329913.6479287,173326546.12398908
1,161955043044216.3,3175296869974.382,866154493235.5455,399684055443.63367,219906276700.27777,140537264102.98938,106800842755.68596,78091239929.93733,49382395607.0505,38036169972.29712,31419732731.161415,25951915624.7932,21420454692.04505,19637658348.34979,15361854469.532791,13787966820.842754,12570514325.872513,10887061668.283394,8579524884.338028,7566616462.037956,6611073613.779259,5976478533.155156,5610559731.376707,5140937667.414461,4874736802.626848,4650927425.212742,4145547813.102189,3854688501.2633314,3800247228.844191,793978137.8829776
1,338136649182809.25,2823977894879.4653,636509845991.5408,217352600948.79364,118150080453.5269,75643220866.06477,47537694162.40728,28362770589.965782,18514418633.04712,15616100637.214462,11197141535.216908,8337877727.246752,7004943698.932286,6150840017.854505,4777040639.006794,3856575445.172769,3536862117.8344326,3056551874.4923496,2653135720.327774,2353358207.6866198,2132573021.1169868,1993096132.595789,1869523120.4125934,1642284424.5105054,1610608543.9298043,1525807592.3617692,1383330378.3128672,1343921832.5625594,1366793332.5943227,214435857.5759939
1,127640422398342.22,1780019967962.9517,434016572947.2554,174368918729.10602,91514503616.56036,54300506817.84151,39695102333.2301,25767408881.835197,12203394212.137438,10702580702.10532,10406660216.222565,9079902316.14392,10604540142.91298,11811074390.34787,12966968177.742752,10504555270.937489,10610564441.778856,8292531462.529922,8229841362.933264,5619478191.218408,4023964470.088134,3162800303.0809126,2882722506.532169,2582867147.3637037,2431273263.9556165,2174492270.754617,2343630983.2408457,2150917738.430648,2282458129.993128,464177571.54071844
1,106311797381590.34,1282909110975.5835,340566465942.65,165604553784.23038,91380080237.60146,53947137823.3101,37013296902.85163,24585156904.696835,12009791343.032494,10130516976.012402,8519397907.572468,7583199385.314178,8154860944.2320795,8097583162.262753,7184961538.357984,8822315459.644566,8833396500.215189,4530089359.680638,3734389258.380309,3050854716.774946,2385249945.2520514,1948797416.059546,1843656059.5130587,1789675426.2090724,1704613858.641317,1784913032.850029,1549411063.2072306,1476054779.8740196,1394306411.123313,285162478.516489
